longitude,latitude,name,address
-81.9346311,34.90791653,Arkwright FD,"1070 Southport Rd, Spartanburg, SC 29306"
-82.360473,34.772314,Belmont FD,"701 Fork Shoals Rd, Greenville, SC 29605"
-82.468695,34.878723,Berea FD Station 1,"7401 White Horse Rd, Greenville, SC 29611"
-82.470261,34.917907,Berea FD Station 2,"54 Old Hunts Bridge, Greenville, SC 29617"
-82.444689,34.893402,Berea FD Station 3,"401 Sulphur Springs Road, Greenville, SC 29617"
-82.256892,34.857306,Boiling Springs FD Station 1,"5020 Pelham Rd, Greenville, SC 29615"
-81.97495765,35.04105307,Boiling Springs FD Station 1,"905 Wesley Ct, Boiling Springs, SC 29316"
-82.290559,34.886961,Boiling Springs FD Station 2,"2015 Hudson Rd, Greer, SC 29650"
-81.94147956,35.08049657,Boiling Springs FD Station 2,"325 Mountain View Rd, Boiling Springs, SC 29316"
-82.267465,34.88876,Boiling Springs FD Station 3,"228 S Batesville Rd, Greer, SC 29650"
-82.15075834,35.11598002,Campobello FD,"50 Broad St, Campobello, SC 29322"
-82.264356,34.636534,Canebrake FD Station 1,"100 Hillside Church Rd, Fountain Inn, SC 29644"
-82.306649,34.623159,Canebrake FD Station 2,"McKelvey Rd & Berry Rd, Fountain Inn, SC"
-82.258311,34.598976,Canebrake FD Station 3,"Hillside Church Rd & McKittrick Bridge Rd, Fountain Inn, SC"
-81.89752357,35.0385792,Cherokee Springs FD Station 1,"201 Flatwood Dr, Chesnee, SC 29323"
-81.92295043,35.08501633,Cherokee Springs FD Station 2,"870 Sandy Ford Rd, Chesnee, SC 29323"
-81.94653435,35.0363256,Cherokee Springs FD Station 3,"3910 Parris Bridge Rd, Boiling Springs, SC 29316"
-81.85971005,35.12071685,Chesnee Community FD Station 1,"5854 Chesnee Hwy, Chesnee, SC 29323"
-81.89667516,35.1617486,Chesnee Community FD Station 2,"1500 Hwy 11 W, Chesnee, SC 29323"
-82.220768,34.807117,Clear Spring FD Station 1,"3008 Woodruff Rd, Simpsonville, SC 29681"
-82.17848,34.759159,Clear Spring FD Station 2,"2435 E Georgia Rd, Simpsonville, SC 29681"
